CATEGORY_NAME,PRE_COVID_BUSINESSES,POST_COVID_BUSINESSES,PRE_COVID_REVIEWS,POST_COVID_REVIEWS,PRE_COVID_RATINGS,POST_COVID_RATINGS,PERCENT_CHANGE_BUSINESSES,PERCENT_CHANGE_REVIEWS,CHANGE_RATINGS
Ramen,137,168,11543,9362,4.05,4.17,22.63,-18.89,0.12
Cannabis Dispensaries,103,125,1070,1446,3.96,3.28,21.36,35.14,-0.68
Bubble Tea,311,377,13552,10577,4.09,4.16,21.22,-21.95,0.07
Cannabis Clinics,112,135,1527,1597,4.01,3.33,20.54,4.58,-0.68
Brewpubs,142,166,7787,5629,4,4.08,16.9,-27.71,0.08
Coffee Roasteries,212,245,7181,5739,4.31,4.36,15.57,-20.08,0.05
Acai Bowls,207,238,6649,4607,4.12,4.13,14.98,-30.71,0.01
Poke,162,184,8548,5318,4.31,4.28,13.58,-37.79,-0.03
Tacos,834,939,29905,22629,3.82,3.84,12.59,-24.33,0.02
Lawn Services,128,143,891,882,3.21,3.27,11.72,-1.01,0.06
Chicken Shop,639,708,16537,13640,3.7,3.58,10.8,-17.52,-0.12
Noodles,280,309,15871,10932,4.03,4.09,10.36,-31.12,0.06
Waffles,143,154,4151,3669,4,4.13,7.69,-11.61,0.13
Siding,149,158,939,921,2.97,2.95,6.04,-1.92,-0.02
Snow Removal,133,141,689,648,3.62,3.4,6.02,-5.95,-0.22
Beer Bar,696,736,38617,23562,4.01,4.07,5.75,-38.99,0.06
Packing Services,217,229,2399,2429,3.43,3.26,5.53,1.25,-0.17
Korean,280,295,14710,10030,4.09,4.12,5.36,-31.82,0.03
Wraps,247,260,6026,4342,3.91,3.91,5.26,-27.95,0
Pasta Shops,161,168,4509,3679,3.73,4.02,4.35,-18.41,0.29
Cocktail Bars,1330,1387,101504,64909,3.99,4.02,4.29,-36.05,0.03
Walk-in Clinics,122,126,911,1016,3.4,2.52,3.28,11.53,-0.88
Vegan,591,610,32628,20508,4.25,4.27,3.21,-37.15,0.02
Paint Stores,100,103,362,380,3.52,3.43,3,4.97,-0.09
Septic Services,102,105,622,570,3.82,3.92,2.94,-8.36,0.1
Mailbox Centers,309,318,1400,1610,3.31,3.24,2.91,15,-0.07
Breweries,663,680,30344,18546,4.03,4.09,2.56,-38.88,0.06
Recycling Center,127,130,1066,1056,2.56,2.48,2.36,-0.94,-0.08
Hawaiian,140,143,8934,4916,4.19,4.2,2.14,-44.97,0.01
Tree Services,471,481,2276,2308,3.78,3.8,2.12,1.41,0.02
Organic Stores,241,246,3472,2400,3.87,3.63,2.07,-30.88,-0.24
Landscaping,738,753,3681,3777,3.61,3.63,2.03,2.61,0.02
Gardeners,213,217,1090,1231,3.91,3.92,1.88,12.94,0.01
Water Purification Services,118,120,939,932,3.44,3.36,1.69,-0.75,-0.08
Nail Technicians,273,277,5432,3425,3.87,3.66,1.47,-36.95,-0.21
Seafood,2607,2637,169875,105753,3.91,3.91,1.15,-37.75,0
Guns & Ammo,191,193,1224,1469,3.88,3.52,1.05,20.02,-0.36
Mexican,3384,3416,113198,79675,3.79,3.76,0.95,-29.61,-0.03
Junk Removal & Hauling,324,326,2654,2629,3.36,3.29,0.62,-0.94,-0.07
Fences & Gates,174,175,912,822,3.84,3.69,0.57,-9.87,-0.15
Chicken Wings,2377,2389,50839,36000,3.47,3.35,0.5,-29.19,-0.12
Juice Bars & Smoothies,1229,1233,33694,22844,4.09,4.07,0.33,-32.2,-0.02
Soul Food,355,356,19354,10633,4.08,4.05,0.28,-45.06,-0.03
Pharmacy,437,438,2088,1855,2.63,2.31,0.23,-11.16,-0.32
Thai,631,631,26705,18896,4.05,4.16,0,-29.24,0.11
Propane,129,129,687,591,2.7,2.68,0,-13.97,-0.02
Lighting Fixtures & Equipment,286,286,1652,1676,3.9,3.93,0,1.45,0.03
Gutter Services,268,268,1188,1253,3.82,3.71,0,5.47,-0.11
Asian Fusion,1003,1000,49595,33193,3.96,3.98,-0.3,-33.07,0.02
Custom Cakes,247,246,3205,2906,4.16,4.15,-0.4,-9.33,-0.01
Comfort Food,568,565,33325,18650,3.99,4,-0.53,-44.04,0.01
Irrigation,188,187,896,1081,3.79,3.72,-0.53,20.65,-0.07
Laser Eye Surgery/Lasik,166,165,997,646,3.88,3.38,-0.6,-35.21,-0.5
Veterinarians,1204,1195,7908,7270,3.83,3.42,-0.75,-8.07,-0.41
Cajun/Creole,627,622,71545,31382,3.96,3.98,-0.8,-56.14,0.02
Cupcakes,330,327,6125,4431,4.19,4.17,-0.91,-27.66,-0.02
Southern,723,716,65146,33074,3.99,3.98,-0.97,-49.23,-0.01
Car Window Tinting,206,204,1436,1292,4.25,4.24,-0.97,-10.03,-0.01
Desserts,2254,2232,80514,56957,4.05,4.06,-0.98,-29.26,0.01
Roofing,400,396,1693,1580,3.51,3.54,-1,-6.67,0.03
Hardware Stores,674,667,3852,3774,3,2.83,-1.04,-2.02,-0.17
Pet Boarding,379,375,2648,2184,4.02,3.7,-1.06,-17.52,-0.32
Hot Dogs,568,561,12617,8647,3.77,3.68,-1.23,-31.47,-0.09
Beer Gardens,154,152,8302,4703,4.04,4.06,-1.3,-43.35,0.02
